country_code,country_name,period,gdp_growth
CZ,Czech Republic,1996-Q1,5.7
CZ,Czech Republic,1996-Q2,4.4
CZ,Czech Republic,1996-Q3,3.7
CZ,Czech Republic,1996-Q4,3.0
CZ,Czech Republic,1997-Q1,0.6
CZ,Czech Republic,1997-Q2,-0.2
CZ,Czech Republic,1997-Q3,-1.3
CZ,Czech Republic,1997-Q4,-1.6
CZ,Czech Republic,1998-Q1,-1.1
CZ,Czech Republic,1998-Q2,-0.6
CZ,Czech Republic,1998-Q3,0.0
CZ,Czech Republic,1998-Q4,0.3
CZ,Czech Republic,1999-Q1,0.4
CZ,Czech Republic,1999-Q2,0.5
CZ,Czech Republic,1999-Q3,1.4
CZ,Czech Republic,1999-Q4,2.6
CZ,Czech Republic,2000-Q1,3.9
CZ,Czech Republic,2000-Q2,4.5
CZ,Czech Republic,2000-Q3,4.8
CZ,Czech Republic,2000-Q4,3.9
CZ,Czech Republic,2001-Q1,3.9
CZ,Czech Republic,2001-Q2,3.0
CZ,Czech Republic,2001-Q3,2.2
CZ,Czech Republic,2001-Q4,2.5
CZ,Czech Republic,2002-Q1,1.2
CZ,Czech Republic,2002-Q2,1.5
CZ,Czech Republic,2002-Q3,1.7
CZ,Czech Republic,2002-Q4,1.4
CZ,Czech Republic,2003-Q1,2.7
CZ,Czech Republic,2003-Q2,3.1
CZ,Czech Republic,2003-Q3,3.6
CZ,Czech Republic,2003-Q4,3.8
CZ,Czech Republic,2004-Q1,3.9
CZ,Czech Republic,2004-Q2,4.2
CZ,Czech Republic,2004-Q3,4.6
CZ,Czech Republic,2004-Q4,5.7
CZ,Czech Republic,2005-Q1,6.3
CZ,Czech Republic,2005-Q2,6.5
CZ,Czech Republic,2005-Q3,6.5
CZ,Czech Republic,2005-Q4,6.5
CZ,Czech Republic,2006-Q1,6.6
CZ,Czech Republic,2006-Q2,7.2
CZ,Czech Republic,2006-Q3,6.9
CZ,Czech Republic,2006-Q4,6.4
CZ,Czech Republic,2007-Q1,6.3
CZ,Czech Republic,2007-Q2,5.1
CZ,Czech Republic,2007-Q3,5.2
CZ,Czech Republic,2007-Q4,5.3
CZ,Czech Republic,2008-Q1,4.0
CZ,Czech Republic,2008-Q2,3.9
CZ,Czech Republic,2008-Q3,2.8
CZ,Czech Republic,2008-Q4,-0.7
CZ,Czech Republic,2009-Q1,-4.5
CZ,Czech Republic,2009-Q2,-5.5
CZ,Czech Republic,2009-Q3,-5.4
CZ,Czech Republic,2009-Q4,-3.3
CZ,Czech Republic,2010-Q1,0.7
CZ,Czech Republic,2010-Q2,2.6
CZ,Czech Republic,2010-Q3,3.2
CZ,Czech Republic,2010-Q4,3.7
CZ,Czech Republic,2011-Q1,3.1
CZ,Czech Republic,2011-Q2,2.2
CZ,Czech Republic,2011-Q3,1.1
CZ,Czech Republic,2011-Q4,0.8
CZ,Czech Republic,2012-Q1,0.5
CZ,Czech Republic,2012-Q2,-0.8
CZ,Czech Republic,2012-Q3,-1.1
CZ,Czech Republic,2012-Q4,-1.4
CZ,Czech Republic,2013-Q1,-1.6
CZ,Czech Republic,2013-Q2,-0.5
CZ,Czech Republic,2013-Q3,0.4
CZ,Czech Republic,2013-Q4,1.6
CZ,Czech Republic,2014-Q1,1.6
CZ,Czech Republic,2014-Q2,2.1
CZ,Czech Republic,2014-Q3,2.7
CZ,Czech Republic,2014-Q4,2.5
CZ,Czech Republic,2015-Q1,4.8
CZ,Czech Republic,2015-Q2,5.2
CZ,Czech Republic,2015-Q3,5.3
CZ,Czech Republic,2015-Q4,4.8
CZ,Czech Republic,2016-Q1,3.2
CZ,Czech Republic,2016-Q2,2.3
CZ,Czech Republic,2016-Q3,2.1
CZ,Czech Republic,2016-Q4,2.4
CZ,Czech Republic,2017-Q1,3.8
CZ,Czech Republic,2017-Q2,6.1
CZ,Czech Republic,2017-Q3,5.9
CZ,Czech Republic,2017-Q4,5.7
CZ,Czech Republic,2018-Q1,4.5
CZ,Czech Republic,2018-Q2,2.3
CZ,Czech Republic,2018-Q3,2.1
CZ,Czech Republic,2018-Q4,2.5
CZ,Czech Republic,2019-Q1,3.4
CZ,Czech Republic,2019-Q2,3.6
