country_code,country_name,period,inflation
CZ,Czech Republic,1997-01,7.2
CZ,Czech Republic,1997-02,7.0
CZ,Czech Republic,1997-03,6.6
CZ,Czech Republic,1997-04,6.4
CZ,Czech Republic,1997-05,6.0
CZ,Czech Republic,1997-06,6.5
CZ,Czech Republic,1997-07,8.8
CZ,Czech Republic,1997-08,9.4
CZ,Czech Republic,1997-09,9.6
CZ,Czech Republic,1997-10,9.7
CZ,Czech Republic,1997-11,9.7
CZ,Czech Republic,1997-12,9.4
CZ,Czech Republic,1998-01,12.1
CZ,Czech Republic,1998-02,12.4
CZ,Czech Republic,1998-03,12.4
CZ,Czech Republic,1998-04,12.0
CZ,Czech Republic,1998-05,12.0
CZ,Czech Republic,1998-06,11.0
CZ,Czech Republic,1998-07,9.6
CZ,Czech Republic,1998-08,8.4
CZ,Czech Republic,1998-09,8.0
CZ,Czech Republic,1998-10,7.2
CZ,Czech Republic,1998-11,6.4
CZ,Czech Republic,1998-12,5.9
CZ,Czech Republic,1999-01,3.1
CZ,Czech Republic,1999-02,2.5
CZ,Czech Republic,1999-03,2.0
CZ,Czech Republic,1999-04,2.0
CZ,Czech Republic,1999-05,1.9
CZ,Czech Republic,1999-06,1.7
CZ,Czech Republic,1999-07,0.8
CZ,Czech Republic,1999-08,1.1
CZ,Czech Republic,1999-09,1.0
CZ,Czech Republic,1999-10,1.3
CZ,Czech Republic,1999-11,1.9
CZ,Czech Republic,1999-12,2.4
CZ,Czech Republic,2000-01,3.4
CZ,Czech Republic,2000-02,3.5
CZ,Czech Republic,2000-03,3.8
CZ,Czech Republic,2000-04,3.4
CZ,Czech Republic,2000-05,3.7
CZ,Czech Republic,2000-06,4.1
CZ,Czech Republic,2000-07,4.1
CZ,Czech Republic,2000-08,4.2
CZ,Czech Republic,2000-09,4.2
CZ,Czech Republic,2000-10,4.5
CZ,Czech Republic,2000-11,4.3
CZ,Czech Republic,2000-12,4.0
CZ,Czech Republic,2001-01,4.1
CZ,Czech Republic,2001-02,4.0
CZ,Czech Republic,2001-03,4.1
CZ,Czech Republic,2001-04,4.7
CZ,Czech Republic,2001-05,5.1
CZ,Czech Republic,2001-06,5.3
CZ,Czech Republic,2001-07,5.4
CZ,Czech Republic,2001-08,5.1
CZ,Czech Republic,2001-09,4.6
CZ,Czech Republic,2001-10,4.3
CZ,Czech Republic,2001-11,3.9
CZ,Czech Republic,2001-12,3.9
CZ,Czech Republic,2002-01,3.4
CZ,Czech Republic,2002-02,3.4
CZ,Czech Republic,2002-03,3.3
CZ,Czech Republic,2002-04,2.9
CZ,Czech Republic,2002-05,2.1
CZ,Czech Republic,2002-06,0.9
CZ,Czech Republic,2002-07,0.3
CZ,Czech Republic,2002-08,0.3
CZ,Czech Republic,2002-09,0.4
CZ,Czech Republic,2002-10,0.1
CZ,Czech Republic,2002-11,0.3
CZ,Czech Republic,2002-12,0.1
CZ,Czech Republic,2003-01,-0.8
CZ,Czech Republic,2003-02,-0.5
CZ,Czech Republic,2003-03,-0.6
CZ,Czech Republic,2003-04,-0.4
CZ,Czech Republic,2003-05,-0.3
CZ,Czech Republic,2003-06,0.0
CZ,Czech Republic,2003-07,-0.3
CZ,Czech Republic,2003-08,-0.3
CZ,Czech Republic,2003-09,0.0
CZ,Czech Republic,2003-10,0.4
CZ,Czech Republic,2003-11,0.8
CZ,Czech Republic,2003-12,1.0
CZ,Czech Republic,2004-01,2.1
CZ,Czech Republic,2004-02,1.9
CZ,Czech Republic,2004-03,2.2
CZ,Czech Republic,2004-04,2.0
CZ,Czech Republic,2004-05,2.6
CZ,Czech Republic,2004-06,2.8
CZ,Czech Republic,2004-07,3.1
CZ,Czech Republic,2004-08,3.2
CZ,Czech Republic,2004-09,2.8
CZ,Czech Republic,2004-10,3.2
CZ,Czech Republic,2004-11,2.8
CZ,Czech Republic,2004-12,2.4
CZ,Czech Republic,2005-01,1.5
CZ,Czech Republic,2005-02,1.4
CZ,Czech Republic,2005-03,1.3
CZ,Czech Republic,2005-04,1.4
CZ,Czech Republic,2005-05,0.9
CZ,Czech Republic,2005-06,1.2
CZ,Czech Republic,2005-07,1.4
CZ,Czech Republic,2005-08,1.4
CZ,Czech Republic,2005-09,2.0
CZ,Czech Republic,2005-10,2.4
CZ,Czech Republic,2005-11,2.1
CZ,Czech Republic,2005-12,2.0
CZ,Czech Republic,2006-01,2.5
CZ,Czech Republic,2006-02,2.5
CZ,Czech Republic,2006-03,2.4
CZ,Czech Republic,2006-04,2.3
CZ,Czech Republic,2006-05,2.8
CZ,Czech Republic,2006-06,2.3
CZ,Czech Republic,2006-07,2.3
CZ,Czech Republic,2006-08,2.6
CZ,Czech Republic,2006-09,2.2
CZ,Czech Republic,2006-10,0.8
CZ,Czech Republic,2006-11,1.0
CZ,Czech Republic,2006-12,1.5
CZ,Czech Republic,2007-01,1.3
CZ,Czech Republic,2007-02,1.6
CZ,Czech Republic,2007-03,2.1
CZ,Czech Republic,2007-04,2.5
CZ,Czech Republic,2007-05,2.4
CZ,Czech Republic,2007-06,2.6
CZ,Czech Republic,2007-07,2.6
CZ,Czech Republic,2007-08,2.6
CZ,Czech Republic,2007-09,2.9
CZ,Czech Republic,2007-10,4.0
CZ,Czech Republic,2007-11,5.2
CZ,Czech Republic,2007-12,5.4
CZ,Czech Republic,2008-01,7.9
CZ,Czech Republic,2008-02,7.7
CZ,Czech Republic,2008-03,7.1
CZ,Czech Republic,2008-04,6.8
CZ,Czech Republic,2008-05,6.8
CZ,Czech Republic,2008-06,6.7
CZ,Czech Republic,2008-07,6.8
CZ,Czech Republic,2008-08,6.3
CZ,Czech Republic,2008-09,6.3
CZ,Czech Republic,2008-10,5.8
CZ,Czech Republic,2008-11,4.1
CZ,Czech Republic,2008-12,3.3
CZ,Czech Republic,2009-01,1.4
CZ,Czech Republic,2009-02,1.3
CZ,Czech Republic,2009-03,1.8
CZ,Czech Republic,2009-04,1.2
CZ,Czech Republic,2009-05,1.0
CZ,Czech Republic,2009-06,0.8
CZ,Czech Republic,2009-07,-0.1
CZ,Czech Republic,2009-08,0.0
CZ,Czech Republic,2009-09,-0.3
CZ,Czech Republic,2009-10,-0.5
CZ,Czech Republic,2009-11,0.1
CZ,Czech Republic,2009-12,0.6
CZ,Czech Republic,2010-01,0.2
CZ,Czech Republic,2010-02,0.3
CZ,Czech Republic,2010-03,0.3
CZ,Czech Republic,2010-04,0.9
CZ,Czech Republic,2010-05,1.0
CZ,Czech Republic,2010-06,0.9
CZ,Czech Republic,2010-07,1.6
CZ,Czech Republic,2010-08,1.5
CZ,Czech Republic,2010-09,1.9
CZ,Czech Republic,2010-10,1.7
CZ,Czech Republic,2010-11,1.9
CZ,Czech Republic,2010-12,2.3
CZ,Czech Republic,2011-01,2.0
CZ,Czech Republic,2011-02,2.0
CZ,Czech Republic,2011-03,1.8
CZ,Czech Republic,2011-04,1.6
CZ,Czech Republic,2011-05,1.9
CZ,Czech Republic,2011-06,2.0
CZ,Czech Republic,2011-07,1.9
CZ,Czech Republic,2011-08,2.0
CZ,Czech Republic,2011-09,2.2
CZ,Czech Republic,2011-10,2.7
CZ,Czech Republic,2011-11,2.9
CZ,Czech Republic,2011-12,2.8
CZ,Czech Republic,2012-01,3.8
CZ,Czech Republic,2012-02,3.9
CZ,Czech Republic,2012-03,4.1
CZ,Czech Republic,2012-04,3.9
CZ,Czech Republic,2012-05,3.6
CZ,Czech Republic,2012-06,3.8
CZ,Czech Republic,2012-07,3.4
CZ,Czech Republic,2012-08,3.5
CZ,Czech Republic,2012-09,3.5
CZ,Czech Republic,2012-10,3.6
CZ,Czech Republic,2012-11,2.8
CZ,Czech Republic,2012-12,2.4
CZ,Czech Republic,2013-01,2.0
CZ,Czech Republic,2013-02,1.7
CZ,Czech Republic,2013-03,1.5
CZ,Czech Republic,2013-04,1.7
CZ,Czech Republic,2013-05,1.2
CZ,Czech Republic,2013-06,1.5
CZ,Czech Republic,2013-07,1.4
CZ,Czech Republic,2013-08,1.2
CZ,Czech Republic,2013-09,1.0
CZ,Czech Republic,2013-10,0.8
CZ,Czech Republic,2013-11,1.0
CZ,Czech Republic,2013-12,1.5
CZ,Czech Republic,2014-01,0.3
CZ,Czech Republic,2014-02,0.3
CZ,Czech Republic,2014-03,0.3
CZ,Czech Republic,2014-04,0.1
CZ,Czech Republic,2014-05,0.5
CZ,Czech Republic,2014-06,0.0
CZ,Czech Republic,2014-07,0.5
CZ,Czech Republic,2014-08,0.7
CZ,Czech Republic,2014-09,0.8
CZ,Czech Republic,2014-10,0.8
CZ,Czech Republic,2014-11,0.6
CZ,Czech Republic,2014-12,0.0
CZ,Czech Republic,2015-01,-0.1
CZ,Czech Republic,2015-02,0.0
CZ,Czech Republic,2015-03,0.1
CZ,Czech Republic,2015-04,0.5
CZ,Czech Republic,2015-05,0.7
CZ,Czech Republic,2015-06,0.9
CZ,Czech Republic,2015-07,0.5
CZ,Czech Republic,2015-08,0.2
CZ,Czech Republic,2015-09,0.3
CZ,Czech Republic,2015-10,0.1
CZ,Czech Republic,2015-11,0.0
CZ,Czech Republic,2015-12,-0.1
CZ,Czech Republic,2016-01,0.5
CZ,Czech Republic,2016-02,0.5
CZ,Czech Republic,2016-03,0.3
CZ,Czech Republic,2016-04,0.5
CZ,Czech Republic,2016-05,0.0
CZ,Czech Republic,2016-06,-0.1
CZ,Czech Republic,2016-07,0.5
CZ,Czech Republic,2016-08,0.6
CZ,Czech Republic,2016-09,0.5
CZ,Czech Republic,2016-10,0.8
CZ,Czech Republic,2016-11,1.6
CZ,Czech Republic,2016-12,2.1
CZ,Czech Republic,2017-01,2.3
CZ,Czech Republic,2017-02,2.6
CZ,Czech Republic,2017-03,2.6
CZ,Czech Republic,2017-04,2.1
CZ,Czech Republic,2017-05,2.5
CZ,Czech Republic,2017-06,2.4
CZ,Czech Republic,2017-07,2.4
CZ,Czech Republic,2017-08,2.4
CZ,Czech Republic,2017-09,2.5
CZ,Czech Republic,2017-10,2.8
CZ,Czech Republic,2017-11,2.5
CZ,Czech Republic,2017-12,2.2
CZ,Czech Republic,2018-01,2.1
CZ,Czech Republic,2018-02,1.6
CZ,Czech Republic,2018-03,1.6
CZ,Czech Republic,2018-04,1.8
CZ,Czech Republic,2018-05,2.0
CZ,Czech Republic,2018-06,2.4
CZ,Czech Republic,2018-07,2.2
CZ,Czech Republic,2018-08,2.4
CZ,Czech Republic,2018-09,2.1
CZ,Czech Republic,2018-10,2.0
CZ,Czech Republic,2018-11,1.6
CZ,Czech Republic,2018-12,1.6
CZ,Czech Republic,2019-01,2.0
CZ,Czech Republic,2019-02,2.4
CZ,Czech Republic,2019-03,2.6
CZ,Czech Republic,2019-04,2.4
CZ,Czech Republic,2019-05,2.6
CZ,Czech Republic,2019-06,2.4
CZ,Czech Republic,2019-07,2.6
CZ,Czech Republic,2019-08,2.6
CZ,Czech Republic,2019-09,2.6
CZ,Czech Republic,2019-10,2.6
CZ,Czech Republic,2019-11,3.0
