country_code,country_name,period,unemployment
CZ,Czech Republic,1993-01,5.5
CZ,Czech Republic,1993-02,5.3
CZ,Czech Republic,1993-03,5.5
CZ,Czech Republic,1993-04,5.6
CZ,Czech Republic,1993-05,5.6
CZ,Czech Republic,1993-06,5.7
CZ,Czech Republic,1993-07,5.8
CZ,Czech Republic,1993-08,5.3
CZ,Czech Republic,1993-09,5.1
CZ,Czech Republic,1993-10,5.3
CZ,Czech Republic,1993-11,5.2
CZ,Czech Republic,1993-12,5.4
CZ,Czech Republic,1994-01,5.5
CZ,Czech Republic,1994-02,5.3
CZ,Czech Republic,1994-03,5.0
CZ,Czech Republic,1994-04,5.3
CZ,Czech Republic,1994-05,5.1
CZ,Czech Republic,1994-06,5.4
CZ,Czech Republic,1994-07,5.1
CZ,Czech Republic,1994-08,5.2
CZ,Czech Republic,1994-09,5.2
CZ,Czech Republic,1994-10,5.3
CZ,Czech Republic,1994-11,4.9
CZ,Czech Republic,1994-12,5.1
CZ,Czech Republic,1995-01,5.0
CZ,Czech Republic,1995-02,4.9
CZ,Czech Republic,1995-03,4.9
CZ,Czech Republic,1995-04,4.8
CZ,Czech Republic,1995-05,5.0
CZ,Czech Republic,1995-06,5.1
CZ,Czech Republic,1995-07,4.9
CZ,Czech Republic,1995-08,4.9
CZ,Czech Republic,1995-09,4.6
CZ,Czech Republic,1995-10,4.7
CZ,Czech Republic,1995-11,4.4
CZ,Czech Republic,1995-12,4.5
CZ,Czech Republic,1996-01,4.8
CZ,Czech Republic,1996-02,4.1
CZ,Czech Republic,1996-03,4.3
CZ,Czech Republic,1996-04,5.1
CZ,Czech Republic,1996-05,4.5
CZ,Czech Republic,1996-06,4.5
CZ,Czech Republic,1996-07,4.6
CZ,Czech Republic,1996-08,4.6
CZ,Czech Republic,1996-09,4.7
CZ,Czech Republic,1996-10,5.0
CZ,Czech Republic,1996-11,4.9
CZ,Czech Republic,1996-12,5.0
CZ,Czech Republic,1997-01,5.0
CZ,Czech Republic,1997-02,5.0
CZ,Czech Republic,1997-03,5.0
CZ,Czech Republic,1997-04,5.6
CZ,Czech Republic,1997-05,5.7
CZ,Czech Republic,1997-06,5.8
CZ,Czech Republic,1997-07,6.0
CZ,Czech Republic,1997-08,6.2
CZ,Czech Republic,1997-09,6.3
CZ,Czech Republic,1997-10,6.6
CZ,Czech Republic,1997-11,6.8
CZ,Czech Republic,1997-12,7.2
CZ,Czech Republic,1998-01,7.1
CZ,Czech Republic,1998-02,7.1
CZ,Czech Republic,1998-03,7.6
CZ,Czech Republic,1998-04,7.6
CZ,Czech Republic,1998-05,7.7
CZ,Czech Republic,1998-06,8.2
CZ,Czech Republic,1998-07,8.7
CZ,Czech Republic,1998-08,8.6
CZ,Czech Republic,1998-09,8.7
CZ,Czech Republic,1998-10,9.6
CZ,Czech Republic,1998-11,9.1
CZ,Czech Republic,1998-12,9.1
CZ,Czech Republic,1999-01,9.6
CZ,Czech Republic,1999-02,10.0
CZ,Czech Republic,1999-03,10.3
CZ,Czech Republic,1999-04,10.2
CZ,Czech Republic,1999-05,10.6
CZ,Czech Republic,1999-06,10.3
CZ,Czech Republic,1999-07,10.7
CZ,Czech Republic,1999-08,11.0
CZ,Czech Republic,1999-09,11.1
CZ,Czech Republic,1999-10,10.7
CZ,Czech Republic,1999-11,10.6
CZ,Czech Republic,1999-12,10.9
CZ,Czech Republic,2000-01,10.9
CZ,Czech Republic,2000-02,11.1
